dataset_of_90s_track,dataset_of_90s_artist,dataset_of_90s_uri,dataset_of_90s_danceability,dataset_of_90s_energy,dataset_of_90s_key,dataset_of_90s_loudness,dataset_of_90s_mode,dataset_of_90s_speechiness,dataset_of_90s_acousticness,dataset_of_90s_instrumentalness,dataset_of_90s_liveness,dataset_of_90s_valence,dataset_of_90s_tempo,dataset_of_90s_duration_ms,dataset_of_90s_time_signature,dataset_of_90s_chorus_hit,dataset_of_90s_sections,dataset_of_90s_target,dataset_of_90s_id_ano
O Come All Ye Faithful / O Holy Night - Instrumental,Trans-Siberian Orchestra,spotify:track:0272R2KNbzGpLnXGAWTfZo,0.123,0.545,5,"-8,333",1,"0,0299","0,00877","0,373","0,129","0,155","168,829",259373,3,"33,37925",14,0,6
O Grande Amor,Antônio Carlos Jobim,spotify:track:2D5UIphZ0ViZBvOiiY1WQI,0.49,0.119,2,"-18,107",0,"0,0418","0,967","0,322","0,122","0,277","129,483",326493,4,"19,59134",12,0,6
O Sol Nascerá (A Sorrir),Cartola,spotify:track:4M2j1X47FwMozJrnJHnYNm,0.69,0.613,7,"-11,531",1,"0,0332","0,554",0,"0,0673","0,919","100,937",97200,4,"39,63801",5,0,6
Offering,John Coltrane,spotify:track:0oMc5phoblKOZBrrgqq6K1,0.312,0.681,11,"-11,445",1,"0,32","0,644","0,00105","0,12","0,597","46,185",502760,4,"42,78978",17,0,6
Oh Girl,Paul Young,spotify:track:0YqhqbLNpfQetrwuLaVTiK,0.57,0.575,9,"-7,032",1,"0,0318","0,267",0,"0,0823","0,421","135,903",216373,4,"33,2269",11,1,6
"Oh, No! What We Gonna Do?",VeggieTales,spotify:track:6u5TlYfQeYthV5Fk8AILLl,0.769,0.55,4,"-8,186",1,"0,416","0,375",0,"0,11","0,632","90,872",119107,4,"82,33543",5,0,6
Oirectine,Boards of Canada,spotify:track:6FGxhUgXzsj98rI7Yo915Z,0.826,0.47,1,"-11,804",1,"0,0646","0,225","0,951","0,111","0,174","106,099",311133,4,"75,99269",10,0,6
Ol' Man River,Bix Beiderbecke,spotify:track:03TEcM6nlUR7cwCeqBeAtL,0.638,0.163,3,"-15,787",1,"0,136","0,995","0,521","0,268","0,791","169,973",177800,4,"39,56903",8,0,6
Old To The New,Nice & Smooth,spotify:track:1eyHkqk22jB7DVr7kGXFs8,0.77,0.878,10,"-6,734",0,"0,0531","0,0052","0,000264","0,0857","0,468","100,418",253333,4,"49,41261",12,1,6
On Bended Knee,Boyz II Men,spotify:track:7MYmo0JJJDmu4MZTSAF9y3,0.631,0.516,8,"-8,225",1,"0,0353","0,413",0,"0,115","0,18","116,654",329800,4,"43,33309",14,1,6
On Point,House Of Pain,spotify:track:2h5hQFc6tPJO3O1tz0bSkY,0.814,0.537,1,"-10,198",1,"0,0691","0,0464","0,000319","0,0928","0,556","104,21",228867,4,"46,72614",13,1,6
On the Rhodes Again,Morcheeba,spotify:track:4QYa5naZ0xJpPqzmApbVh4,0.396,0.766,7,"-8,895",1,"0,133","0,302","0,926","0,244","0,127","75,051",431267,4,"88,9491",11,0,6
Once Upon the Cross,Deicide,spotify:track:3fsOBwBwxBB4j1IFhh3s9V,0.205,0.95,10,"-8,498",0,"0,132","1,93E-05","0,805","0,212","0,314","184,43",214213,4,"29,82403",8,0,6
One And Only Man,Steve Winwood,spotify:track:3Mjn7q1ubHIhTGwciFMrB9,0.606,0.87,2,"-9,012",0,"0,0282","0,0119","0,00386","0,127","0,855","104,99",302733,4,"40,12425",13,1,6
One More Try,Kristine W,spotify:track:4fMPX87j0CHJCOJ3QtKe5P,0.71,0.768,0,"-6,949",1,"0,0345","0,327","0,00329","0,162","0,237","126,122",268267,4,"46,41828",8,1,6
One Of Us,Joan Osborne,spotify:track:1xNmF1Uep5OGutizZSbKvd,0.316,0.499,9,"-7,899",1,"0,0298","0,0108","1,81E-05","0,126","0,403","174,782",320467,4,"38,6325",15,1,6
One Way Ticket,Mr. Review,spotify:track:0MWuLiXqxPiQIGTCjstLgL,0.696,0.896,9,"-9,134",1,"0,0332","0,165","0,00591","0,121","0,981","166,978",234573,4,"44,20047",10,0,6
One Week,Barenaked Ladies,spotify:track:29hBRadFZf9QTGRHZmxm65,0.702,0.898,9,"-6,003",1,"0,0373","0,00854","0,000154","0,0917","0,731","112,845",169760,4,"45,25342",8,1,6
Only Time Will Tell,Nelson,spotify:track:7FcRdUa2ypO4W6MAiVNUxz,0.455,0.417,0,"-16,817",0,"0,0303","0,316","1,44E-06","0,0608","0,464","142,25",233718,4,"44,31658",10,1,6
Only Wanna Be With You,Hootie & The Blowfish,spotify:track:1OFKUn2VLafrHj7ybnap0Q,0.49,0.873,6,"-5,861",1,"0,0355","0,107","5,19E-06","0,118","0,513","103,272",229587,4,"42,4438",10,1,6
Ooh Aah... Just A Little Bit,Gina G,spotify:track:7kyMLaXepcGHIrsLqoiTB8,0.647,0.942,1,"-7,101",1,"0,0341","0,626","0,168","0,0411","0,937","130,978",203120,4,"22,43208",11,1,6
Ordinary Story,In Flames,spotify:track:0Lc3diklqgtWER4cnESn8u,0.439,0.983,3,"-4,911",1,"0,123","1,31E-05","0,319","0,183","0,262","156,977",256333,4,"34,18605",9,0,6
Ordinary World,Duran Duran,spotify:track:0wokCRaKD0zPNhMRXAgVsr,0.472,0.652,1,"-10,171",0,"0,0305","0,0131","1,12E-05","0,14","0,401","140,124",340200,4,"66,99943",14,1,6
Our Delight,Jan Lundgren Trio,spotify:track:6VIs7tIJ6XkFvQMAnbo7Nw,0.464,0.443,10,"-14,391",0,"0,0361","0,743","0,0773","0,713","0,641","112,944",239707,4,"117,39012",5,0,6
Out Of My Head,Fastball,spotify:track:5tOjRq5shlEdm15nmJBq7Z,0.531,0.658,4,"-7,382",1,"0,0382","0,412","0,00272","0,16","0,461","78,896",153067,4,"65,61959",7,1,6
Overture And A Prisoner Of The Crusades (From Chains To Freedom),Michael Kamen,spotify:track:15j9XMtlPVsJpqCrDTv0MW,0.187,0.264,0,"-15,162",1,"0,035","0,73","0,752","0,104","0,0977","145,012",507560,4,"40,16228",22,0,6
Oye Mi Canto (Hear My Voice),Gloria Estefan,spotify:track:61ZYmGnSp4eStNQGutEOCX,0.671,0.684,7,"-12,216",1,"0,0391","0,245","0,00406","0,0592","0,886","119,525",291200,4,"17,62856",13,1,6
Paroles paroles,Dalida,spotify:track:4VvTGipG8YaF09z0kfGqaD,0.567,0.549,5,"-9,727",0,"0,0464","0,727",0,"0,136","0,399","125,176",245667,4,"57,17115",12,0,6
Parras,Los Strwck,spotify:track:1SaEaa5kyQIuAgZCHzIrfV,0.441,0.77,4,"-6,491",1,"0,0413","0,59","4,17E-06","0,26","0,906","97,342",170080,4,"78,61079",5,0,6
Peach,Beborn Beton,spotify:track:61u4h6IUG74LyvxzmvFToc,0.632,0.852,0,"-8,265",1,"0,037","0,0235","0,122","0,056","0,559","125,009",270187,4,"39,4452",15,0,6
Peaches,The Presidents Of The United States Of America,spotify:track:3VEFybccRTeWSZRkJxDuNR,0.417,0.849,1,"-4,199",0,"0,0481","0,0146","0,000387","0,0673","0,594","94,267",171693,4,"37,28005",7,1,6
Pearl - Edit,Chapterhouse,spotify:track:0kCzcpTLcdi6ClEI2x28hb,0.41,0.885,2,"-7,042",1,"0,0351","0,000104","0,807","0,307","0,618","100,047",290800,4,"24,78784",11,0,6
Peer Gynt Suite No.1 op. 46 In the Hall of the Mountain King (Alla marciia e molto marcato),Academy of St. Martin in the Fields,spotify:track:3ejpnLTJJeeMe2K7V95iIn,0.392,0.156,4,"-18,118",0,"0,0385","0,953","0,956","0,0843","0,535","132,058",145467,4,"19,79342",8,0,6
Pepito en el Nacional,Acerina Y Su Danzonera,spotify:track:1cQgNSKnylErAP4pZjrxxx,0.543,0.449,2,"-11,012",1,"0,0611","0,488","0,15","0,0323","0,79","135,465",133040,4,"46,51646",7,0,6
Piano Sonata No. 2: 4. Vif,Pierre Boulez,spotify:track:0LPDTd3IP91H1pjEvKS5iA,0.507,0.101,7,"-20,403",0,"0,0446","0,986","0,808","0,257","0,183","75,369",612000,3,"53,6798",23,0,6
Picaíto,Los Angeles Azules,spotify:track:6gQFGdm1bCupAUiLHi6w5e,0.798,0.699,5,"-4,611",1,"0,0598","0,385","0,000501","0,0494","0,67","94,501",133360,4,"19,42819",9,0,6
Pico De Gallo,Trout Fishing in America,spotify:track:57vDkCw1lLLJ43NvRG5it2,0.577,0.584,9,"-7,788",1,"0,0438","0,387",0,"0,775","0,836","136,938",188627,4,"35,79662",11,0,6
Piedra,Caifanes,spotify:track:3UvB63cZSpGUL3LvAj03dI,0.643,0.816,7,"-8,535",1,"0,0476","0,0357","7,28E-05","0,218","0,616","115,061",276067,4,"31,51525",14,0,6
Pimp Of The Year,Dru Down,spotify:track:5f8KgDZ8aQKQii0U1qdRbC,0.931,0.513,2,"-4,655",1,"0,263","0,108","0,000435","0,272","0,3","101,064",254093,4,"37,20501",13,1,6
Ping Pong - Remastered,Art Blakey & The Jazz Messengers,spotify:track:1cjVMCYoLlzZ6AeC6fUvZJ,0.505,0.534,5,"-10,919",0,"0,043","0,503","0,000231","0,0872","0,595","119,209",426867,4,"39,17422",18,0,6
Pink,Aerosmith,spotify:track:74uGhWp4BYpjFj1V2DzgoO,0.431,0.751,0,"-5,124",1,"0,0423","0,0134","4,45E-06","0,126","0,777","171,848",235360,4,"69,74034",10,1,6
Plasma,Plas Johnson,spotify:track:6aBzhEJA2KZpkiUeLdr1L6,0.607,0.205,0,"-14,275",0,"0,0378","0,141","0,909","0,0635","0,569","116,09",162907,1,"27,11763",9,0,6
Please,The Kinleys,spotify:track:3rbzfdva1BcGF5ZZ8xGf6U,0.562,0.54,4,"-6,351",1,"0,0259","0,557",0,"0,0948","0,277","140,77",214827,4,"42,79858",11,1,6
Please Don't Go,Boyz II Men,spotify:track:6wpz7aQOAk2plmGYrSr61H,0.644,0.663,6,"-12,847",0,"0,0454","0,197",0,"0,302","0,743","135,622",263960,4,"18,85266",14,1,6
Please Don't Go,K.W.S.,spotify:track:41DTJjf2ZT7dTuZOKBNKbb,0.725,0.954,8,"-7,234",1,"0,0375","0,0437","0,0857","0,132","0,594","120,248",373600,4,"33,30201",14,1,6
Please Return,The Black Devils,spotify:track:4dCUSNs3PClT7ThKrBtDsT,0.717,0.395,4,"-10,693",1,"0,0266","0,786","0,000246","0,155","0,512","111,682",217333,3,"30,60704",14,0,6
Pluto,Björk,spotify:track:03794FHTruV54i92ZvNESw,0.584,0.823,8,"-4,572",1,"0,157","0,00227","0,349","0,0754","0,323","148,068",199240,4,"39,46298",9,0,6
Poison,Alice Cooper,spotify:track:5XcZRgJv3zMhTqCyESjQrF,0.28,0.908,2,"-5,509",0,"0,109","0,0327","8,85E-06","0,18","0,26","118,698",270080,4,"36,90502",10,1,6
Poison,Bell Biv DeVoe,spotify:track:6m59VvDUi0UQsB2eZ9wVbH,0.84,0.56,6,"-10,53",0,"0,21","0,00195","0,00417","0,633","0,775","111,815",261853,4,"38,13758",13,1,6
Pomeroy Mountain,Angry Johnny and the Killbillies,spotify:track:6g8EpamrbtVKNOcsodJPEr,0.669,0.564,7,"-11,133",1,"0,0284","0,433","2,08E-05","0,157","0,946","134,285",302107,4,"54,67647",12,0,6
Pop Loser,Velocity Girl,spotify:track:1ffCS0pYwGoNArwqFS0iGp,0.588,0.835,9,"-8,511",0,"0,0301","0,0808","0,00752","0,13","0,978","127,494",144840,4,"30,52254",8,0,6
Pop Place,Trashcan Sinatras,spotify:track:1XQJJ4nnvYlOurbq8T0FvT,0.638,0.609,2,"-7,084",1,"0,0251","0,109",0,"0,152","0,874","110,551",188400,4,"28,07624",11,0,6
Post Houmous,Morcheeba,spotify:track:3TcPdLmJd4bkexN5QeZwre,0.703,0.359,7,"-11,785",1,"0,0505","0,0822","0,93","0,11","0,0701","92,068",108306,4,"56,70848",5,0,6
Potion No. 1,Den Baron,spotify:track:4K9PdqmNLi1fO94TnEez6G,0.353,0.883,0,"-8,561",1,"0,043","0,00911","0,151","0,053","0,564","119,288",188933,5,"34,69665",8,0,6
Powerful Thing,Trisha Yearwood,spotify:track:726S7vART4JYDbwIZwvHEm,0.614,0.868,2,"-3,97",1,"0,0459","0,413",0,"0,0366","0,956","147,978",176920,4,"37,24591",9,1,6
Pra Você Gostar de Mim,Vital Farias,spotify:track:6sCSDp0N4T8RQqWbepEuog,0.383,0.38,3,"-11,156",1,"0,0308","0,799","0,00164","0,171","0,539","139,827",259374,3,"38,49459",13,0,6
Praying For Time,George Michael,spotify:track:7CgRXXie9XIxVSkpKi40ID,0.581,0.622,10,"-14,878",1,"0,0354","0,0471","0,0162","0,0915","0,257","127,814",280981,4,"26,52636",13,1,6
Prelude and Story,Tony Kinsey,spotify:track:19yNBPOlv3pLFKZ1zoA6yE,0.295,0.209,5,"-13,146",1,"0,0348","0,916","0,00154","0,138","0,0786","126,328",362600,4,"52,82156",18,0,6
Pretty Fly (For A White Guy),The Offspring,spotify:track:3SFXsFpeGmBTtQvKiwYMDA,0.723,0.895,11,"-3,707",0,"0,102","0,088",0,"0,0717","0,963","143,373",188667,4,"16,83781",11,1,6
Prints Tie,Bobby Hutcherson,spotify:track:6FERZX07fqebws3FeqChTl,0.331,0.254,6,"-15,98",1,"0,0339","0,824","0,52","0,0911","0,229","83,94",449600,3,"65,76794",19,0,6
Promentory,Trevor Jones,spotify:track:0l4seNH8AyE2kvjxFfpWi1,0.183,0.235,2,"-17,632",0,"0,0366","0,000117","0,857","0,136","0,037","107,603",373173,4,"33,3797",22,0,6
Punk Rock 101,Diesel Boy,spotify:track:4TM8FBojGAfApm4n109A72,0.327,0.906,1,"-6,617",0,"0,0719","3,28E-05","1,11E-05","0,0655","0,342","102,413",106333,3,"20,69348",6,0,6
Punta Del Soul,Dave Grusin,spotify:track:28I3FVjb1eeOfNmyZl3gdJ,0.703,0.507,5,"-11,195",1,"0,0399","0,131","0,683","0,0501","0,603","82,885",331400,4,"24,34",11,0,6
Que Inhumano,Los Superclasicos,spotify:track:4Iv3HGBWhM59CzZlfMyLiq,0.583,0.34,10,"-15,228",1,"0,0344","0,79","3,42E-06","0,0793","0,688","111,083",149827,4,"27,8855",7,0,6
Quem Quiser Encontrar O Amor,Tamba Trio,spotify:track:5kHStdKoIKWa6c06nGRdrp,0.386,0.292,7,"-18,672",1,"0,0293","0,847","0,332","0,234","0,381","90,72",179160,4,"43,08369",8,0,6
Quincy Punk Episode,Spoon,spotify:track:51JuqDiKjIh09lVOTNg4QG,0.488,0.972,9,"-7,017",0,"0,0688","0,00855","0,00116","0,286","0,602","162,833",138053,4,"21,33321",9,0,6
R-9,Cybotron,spotify:track:4lbgRLLrmnxbM3Kbb6KaiU,0.636,0.87,6,"-13,175",0,"0,061","0,0033","0,396","0,103","0,64","124,325",314107,4,"21,66429",15,0,6
Ram It Down,Judas Priest,spotify:track:3LsIuCbWHtl78X3nrTQl4O,0.309,0.983,2,"-5,991",1,"0,115","0,000809","0,00596","0,278","0,146","141,71",288520,4,"21,30834",10,0,6
Reach,Gloria Estefan,spotify:track:5XA5gILkpyVfHuoBLl9kfN,0.451,0.832,5,"-5,371",0,"0,0429","0,314",0,"0,0722","0,435","156,104",230133,4,"23,3596",11,1,6
Reach For The Sky,Firehouse,spotify:track:4T2CCZX2QjiREym8lZ2G4v,0.562,0.891,1,"-8,283",1,"0,0361","1,21E-05","0,0588","0,0858","0,524","132,569",286733,4,"31,92332",8,1,6
Ready To Go,Republica,spotify:track:5Qt8U8Suu7MFH1VcJr17Td,0.559,0.953,2,"-4,657",1,"0,0568","0,000283","0,188","0,187","0,236","130,053",301067,4,"38,21508",8,1,6
Real Hip Hop,Das EFX,spotify:track:7Kutf53V4k0CvU4nKu5oK6,0.858,0.76,4,"-7,895",0,"0,254","0,0217",0,"0,322","0,951","93,082",247613,4,"30,41843",11,1,6
Really Doe,Ice Cube,spotify:track:1P1drZCIcMAqTMbO2DzImN,0.773,0.737,8,"-8,314",1,"0,146","0,00993","0,0234","0,295","0,691","96,909",268160,4,"21,10311",12,1,6
Recover Your Soul,Elton John,spotify:track:6FGfXPvZ8sMpq1xd75FHXp,0.725,0.653,7,"-9,365",1,"0,0238","0,134","0,00675","0,272","0,582","103,003",318040,4,"25,0056",17,1,6
Red Clay Halo,The Nashville Bluegrass Band,spotify:track:1bsAluHXof40bcq8CtEunj,0.678,0.386,0,"-11,385",1,"0,0341","0,864","0,00179","0,213","0,667","129,564",173533,4,"38,50535",9,0,6
Red Light Blues,Tony Kinsey,spotify:track:0o16V4x9u5XpDBJK4vq9wZ,0.517,0.0939,7,"-20,157",0,"0,0431","0,766","0,13","0,173","0,5","93,95",229973,4,"48,79887",13,0,6
Red Light Fever,Demented Are Go,spotify:track:5LRNpyL4VvbFY86H9JxeJm,0.266,0.98,7,"-4,775",0,"0,113","3,82E-06","0,712","0,105","0,208","119,43",124933,4,"49,23172",7,0,6
Refractive Light / Harbinger,David Behrman,spotify:track:4MdcUJvtJKe7TDYoRaVmXb,0.22,0.0512,7,"-23,172",1,"0,0433","0,989","0,835","0,0785","0,0352","99,038",63867,4,"39,35029",4,0,6
Regret,New Order,spotify:track:1UVll7jjUlqSGxCZ6uXVaD,0.506,0.931,5,"-5,635",1,"0,0305","0,00146","0,0227","0,27","0,865","129,568",248973,4,"42,28143",11,1,6
Release Me,Angelina,spotify:track:0Adj9fQY9QurLs8xs1aFBG,0.869,0.732,8,"-5,405",1,"0,0559","0,0162","5,74E-05","0,0627","0,944","130,064",237267,4,"43,6293",9,1,6
Release Me,Wilson Phillips,spotify:track:1rIy3lkFJnMsTLZpxFmYU8,0.724,0.471,0,"-11,143",1,"0,0358","0,448","2,5E-06","0,218","0,442","97,211",295693,4,"47,65505",12,1,6
Revolution Rock,Los Fabulosos Cadillacs,spotify:track:5RZK7quU1v0QaZYulNfw3G,0.549,0.915,0,"-6,737",1,"0,0669","0,0813","0,000316","0,0285","0,87","172,12",296040,4,"36,52387",14,0,6
Rhythm Of Love,DJ Company,spotify:track:73qjbJcnWtMySl3HIvgnd4,0.552,0.868,1,"-8,242",1,"0,0347","0,00138","0,114","0,17","0,797","142,013",230360,4,"21,07611",12,1,6
Rhythm Of My Heart,Rod Stewart,spotify:track:6pceknxOgA22HKs99yPEm1,0.582,0.54,1,"-11,021",1,"0,0321","0,0621",0,"0,178","0,433","94,955",254867,4,"21,41833",12,1,6
Right Here,SWV,spotify:track:7tUEDtHchueeUJTfEFEhii,0.615,0.72,9,"-5,16",0,"0,0658","0,068","0,0105","0,0889","0,696","94,002",226947,4,"23,08257",12,1,6
Riverside Special,African Jazz Pioneers,spotify:track:5eAOYzJ9q6Q7Z25Yml5UTc,0.567,0.856,5,"-5,095",1,"0,052","0,665","0,469","0,11","0,902","113,641",384813,4,"45,09151",15,0,6
Rock And Roll Dreams Come Through,Meat Loaf,spotify:track:452fSzvkB2A8FHVI4JKK2S,0.564,0.888,0,"-3,389",1,"0,0329","0,169","0,000101","0,182","0,461","112,234",350867,4,"39,56157",15,1,6
Rock n' Roll,Suicide,spotify:track:1MZ2PkMHIdEiGo8yLtZCiy,0.251,0.34,10,"-15,731",0,"0,0356","0,000124","0,734","0,11","0,0315","101,663",314733,4,"67,56562",8,0,6
Rock para los Dientes - En Vivo,Patricio Rey y sus Redonditos de Ricota,spotify:track:7lqQj0Be4i6JV65jSlSrsX,0.455,0.98,4,"-3,699",0,"0,0766","0,201","0,0165","0,989","0,601","111,267",212307,4,"73,57953",7,0,6
Rock-n-roll - это не работа,Alisa,spotify:track:43YE3dS5p9Gf4wmkPwn4yn,0.496,0.869,9,"-7,754",1,"0,118","0,179",4E-06,"0,328","0,559","115,275",254240,4,"31,46344",7,0,6
Roll To Me,Del Amitri,spotify:track:7LF0YY1gON8rBECsyEs0Wb,0.567,0.821,6,"-5,894",1,"0,0371","0,418",0,"0,108","0,895","150,106",132307,4,"83,96083",6,1,6
"Romance No. 2 In F Major, Op. 50 : Romance No. 2 In F Major, Op. 50",Takako Nishizaki,spotify:track:2bVFtinPWr6qKEapuQeSo6,0.148,0.0512,5,"-23,233",1,"0,0463","0,964","0,292","0,303","0,0706","185,749",593467,4,"47,02557",27,0,6
Romantic Call,Patra Featuring Yo-Yo,spotify:track:1siSzxLE2nCUZ4VYTMbCQT,0.802,0.608,10,"-10,169",0,"0,255","0,0174","0,0174","0,0761","0,766","98,439",243093,4,"47,923",11,1,6
Romeo,Dino,spotify:track:7xez8LRby1hw2nBvse9E9e,0.668,0.892,7,"-6,767",0,"0,0775","0,0766",1E-05,"0,135","0,899","108,237",256733,4,"104,88036",8,1,6
Rosealia,Better Than Ezra,spotify:track:2NlX2HYLvnqpD8v1sBOUyK,0.392,0.676,7,"-11,914",1,"0,0327","0,00567","0,000111","0,155","0,548","120,926",278973,4,"164,10108",5,1,6
Rothko Chapel 5,Morton Feldman,spotify:track:3ci95cJaK7fYZN3o9YBTXf,0.168,0.00198,9,"-40,147",0,"0,0493","0,98","0,957","0,104","0,0279","69,344",172867,3,"32,46112",10,0,6
Run Away,Real McCoy,spotify:track:0ibYVniVLMJWvc3eNfYk8T,0.721,0.924,1,"-8,282",1,"0,0396","0,000683","0,00382","0,0817","0,694","130,947",244133,4,"29,70752",12,1,6
Run-Around,Blues Traveler,spotify:track:500Tkm3vJmVtdUwdCVxCTb,0.629,0.867,7,"-7,307",1,"0,0603","0,0865",0,"0,126","0,876","151,695",279800,4,"19,30139",16,1,6
Runaway,The Corrs,spotify:track:6csX1JjmeoLhGqMBXGnZF0,0.423,0.598,5,"-7,443",1,"0,0268","0,641","1,24E-06","0,34","0,521","151,972",265133,3,"31,42707",11,1,6
Runaway Train,Soul Asylum,spotify:track:3TW48DvQ7ChwY1Yy1tkMaP,0.613,0.72,0,"-7,957",1,"0,0425","0,0132",0,"0,104","0,561","117,341",265867,4,"26,84971",11,1,6
Said I Loved You...But I Lied,Michael Bolton,spotify:track:2nfMrwg3aRhSAv4HX7IzJL,0.547,0.569,10,"-8,644",1,"0,0271","0,189","7,05E-06","0,156","0,432","159,713",304867,4,"38,744",13,1,6
Sails,Nikki Iles,spotify:track:5AsOna1ZTeM4BmHRgT3iHe,0.438,0.00343,2,"-30,785",0,"0,0438","0,996","0,711","0,0796","0,459","74,291",122467,3,"83,84389",4,0,6
Same Old Look,Jimmy Ryser,spotify:track:7sCkSxXhbq0HlXHAx7RPIS,0.554,0.927,7,"-6,103",1,"0,0351","0,0309","3,26E-06","0,206","0,531","125,023",276360,4,"14,95971",13,1,6
Santa's A Fat Bitch,Insane Clown Posse,spotify:track:2h4voue0Zb6X8W902p27sK,0.85,0.546,1,"-12,971",1,"0,206","0,00574",0,"0,719","0,655","94,28",262525,4,"46,36628",10,1,6
Sarabande,La Monte Young,spotify:track:1ULw41Hx2vYOBwmmE1E4D2,0.654,0.0027,7,"-25,959",1,"0,195","0,99","0,945","0,0975","0,0928","97,664",97160,4,"35,6256",5,0,6
"Sarasate: Zigeunerweisen, Op. 20",Pablo de Sarasate,spotify:track:2st9kwCck5g6hjUwwRGQCE,0.265,0.137,0,"-20,642",0,"0,0491","0,867","0,132","0,048","0,134","82,954",517707,4,"38,97169",22,0,6
Satin Doll,Duke Ellington,spotify:track:02E4skBHp6ZyoEDgXHcQgu,0.611,0.0975,0,"-11,57",1,"0,0289","0,745","0,856","0,101","0,399","88,835",179333,4,"36,48749",6,0,6
Say It,Voices Of Theory,spotify:track:5919i3Sp9U2IE5m7hhlgSw,0.381,0.415,0,"-10,298",1,"0,0691","0,675",0,"0,0795","0,257","61,908",269467,3,"26,47203",9,1,6
Say It (Over And Over Again),John Coltrane Quartet,spotify:track:0URXszKHiOp6aav1bwYyBi,0.482,0.115,3,"-14,606",1,"0,035","0,946","0,286","0,256","0,237","66,801",258093,4,"58,7767",7,0,6
Say You'll Be There,Spice Girls,spotify:track:1yTQ39my3MoNROlFw3RDNy,0.726,0.679,1,"-6,219",1,"0,0473","0,0149","1,49E-06","0,0837","0,751","107,02",235973,4,"32,66922",9,1,6
"Schoenberg: 5 Orchestral Pieces, Op. 16: No. 1 Vorgefühle (Forebodings)",Arnold Schoenberg,spotify:track:3aLBmGiKnERrkmKyFMnv2o,0.199,0.254,1,"-17,501",1,"0,0416","0,88","0,918","0,126","0,152","74,757",132373,4,"100,76148",4,0,6
Sci-Fi Wasabi,Cibo Matto,spotify:track:2DkkPE9FFCbNa0cfymZnVi,0.678,0.849,6,"-4,183",1,"0,141","0,0174",0,"0,592","0,424","98,401",223027,4,"55,1161",7,0,6
Scoot,Carl-Henrik Norin,spotify:track:19DP3vzCOtPQTkeVaxpRUJ,0.747,0.407,8,"-7,692",1,"0,0661","0,327","0,559","0,034","0,713","112,707",154427,4,"21,08032",8,0,6
Screaming for Vengeance,Judas Priest,spotify:track:1xrZtQGgKrnrbYFWJ1YLmJ,0.391,0.979,9,"-5,537",1,"0,0936","0,00922","3,43E-06","0,533","0,184","112,928",283907,4,"24,75128",13,0,6
Sedalia,Tol & Tol,spotify:track:1CBPHiDlNY1ld9eYHiGPcI,0.679,0.399,5,"-14,321",1,"0,0336","0,178","0,00679","0,0883","0,777","115,073",206907,4,"26,87272",11,0,6
Seeya Later,Boards of Canada,spotify:track:2LDYvpug35TCwdooo62tD2,0.728,0.467,1,"-14,021",1,"0,252","0,000163","0,903","0,0374","0,367","94,027",252640,4,"50,55722",10,0,6
Segura esta Mulher,Silvio Caldas,spotify:track:4KkF4KNWkRFlSW8B5Bulgx,0.821,0.424,7,"-11,753",1,"0,05","0,925",0,"0,364","0,955","119,675",149200,4,"36,85945",7,0,6
Sensitivity,Ralph Tresvant,spotify:track:3lRgzwd3g1TewI4zjgbh9V,0.683,0.661,1,"-12,823",1,"0,0459","0,137","0,557","0,0772","0,707","96,956",281333,4,"24,85299",12,1,6
Sexual (Li Da Di),Amber,spotify:track:4jCWcK6PhbnzOCAFJEztUm,0.623,0.898,4,"-6,604",0,"0,0309","0,000192","0,303","0,138","0,786","130,993",226227,4,"30,7697",12,1,6
Shadowboxin',GZA,spotify:track:7bp5DfkdK1OAvNJ1U4HfDA,0.704,0.642,1,"-10,11",1,"0,39","0,00704","1,43E-06","0,161","0,72","92,09",209973,4,"23,7503",12,0,6
Shake Your Bon-Bon,Ricky Martin,spotify:track:1yKDl9K9lrbIFSpPBzEQtb,0.638,0.937,0,"-4,642",1,"0,0444","0,0942",0,"0,327","0,762","100,03",192333,4,"22,51275",9,1,6
She - Tous les visages de l’amour,Charles Aznavour,spotify:track:2OxkfL5jW8bvYTCNDLlRSY,0.348,0.393,1,"-9,787",1,"0,03","0,223",0,"0,151","0,357","132,069",153067,4,"19,42083",10,0,6
She Made Me,The Brian Jonestown Massacre,spotify:track:1n2LBrEbAJNN5RzKsfkjNI,0.392,0.638,9,"-12,827",1,"0,0276","0,0484","0,804","0,378","0,51","85,449",282267,4,"49,96054",8,0,6
"She Was Tall, She Was High",The Pretty Things,spotify:track:1ZBAsM0AIjBaCRwL1iOTIZ,0.444,0.479,7,"-9,731",1,"0,0341","0,0492","2,28E-05","0,236","0,303","140,192",95840,4,"25,19804",7,0,6
She's Always Right,Clay Walker,spotify:track:6TZIPLYJLGXKw7Q4JJ3ujF,0.47,0.53,8,"-10,006",1,"0,0317","0,354",0,"0,19","0,444","142,741",201867,4,"39,05795",8,1,6
She's Playing Hard To Get,Hi-Five,spotify:track:3xRbymJj98leHL7K8Y94WS,0.525,0.811,1,"-6,148",1,"0,0602","0,00847",0,"0,266","0,751","199,977",276573,4,"41,06696",9,1,6
